epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.079,1.5238,1.85773,1.45138,0.60462,0.56932,0.60438,0.35301,1.50463,1.65528,1.46304,0.00026645,0.00026645,0.0669602
2,292.363,1.44058,1.51152,1.40857,0.63214,0.56801,0.59731,0.36569,1.44293,1.61893,1.46619,0.000526519,0.000526519,0.033887
3,422.479,1.39072,1.39841,1.37815,0.68581,0.63907,0.68857,0.41875,1.39721,1.36873,1.38566,0.000779989,0.000779989,0.000807089
4,548.936,1.35993,1.3229,1.35412,0.72342,0.65575,0.718,0.44702,1.35651,1.27951,1.35624,0.0007703,0.0007703,0.0007703
5,678.006,1.33037,1.25296,1.32019,0.71154,0.67297,0.72456,0.45997,1.30385,1.23827,1.3395,0.0007604,0.0007604,0.0007604
6,803.907,1.30187,1.19276,1.30495,0.75984,0.69531,0.76917,0.49232,1.28682,1.14881,1.31355,0.0007505,0.0007505,0.0007505
7,931.972,1.27746,1.14496,1.29104,0.7587,0.68369,0.76259,0.48407,1.29696,1.13059,1.32294,0.0007406,0.0007406,0.0007406
8,1058.25,1.24357,1.09791,1.26949,0.74558,0.69713,0.76421,0.48524,1.31455,1.15602,1.32211,0.0007307,0.0007307,0.0007307
9,1186.18,1.22888,1.06806,1.26079,0.76365,0.71531,0.78117,0.49455,1.2856,1.10518,1.31477,0.0007208,0.0007208,0.0007208
10,1313.54,1.21512,1.04234,1.25136,0.77142,0.73636,0.80016,0.52512,1.22792,1.02772,1.27005,0.0007109,0.0007109,0.0007109
11,1441.88,1.19357,1.02626,1.24091,0.77767,0.71765,0.79983,0.52575,1.21984,1.03245,1.26571,0.000701,0.000701,0.000701
12,1570.07,1.18061,0.99084,1.22328,0.80216,0.73311,0.81226,0.54317,1.18284,1.00487,1.23749,0.0006911,0.0006911,0.0006911
13,1697.02,1.15868,0.95318,1.21234,0.78815,0.74736,0.81792,0.54865,1.18258,0.99047,1.24135,0.0006812,0.0006812,0.0006812
14,1824.91,1.14333,0.9385,1.20497,0.79222,0.75225,0.82137,0.54808,1.18447,0.95719,1.23937,0.0006713,0.0006713,0.0006713
15,1951.57,1.13393,0.91866,1.20039,0.81702,0.75746,0.8326,0.56415,1.14721,0.93221,1.21409,0.0006614,0.0006614,0.0006614
16,2080.23,1.12908,0.91503,1.19246,0.79579,0.77421,0.8358,0.56455,1.15672,0.92098,1.22797,0.0006515,0.0006515,0.0006515
